City_ID,city,lat,lng,max_temp,humidity,cloudiness,speed,country,date
325,sars,57.1366,56.5502,27.66,96,100,12.1,RU,1672682395
326,cap malheureux,57.6142,-19.9842,78.48,71,89,9.93,MU,1672682395
327,copiapo,-70.3333,-27.3667,69.49,33,2,13.85,CL,1672682396
328,yatou,122.3833,37.15,25.0,87,26,5.68,CN,1672682396
329,kerouane,-9.0167,9.2667,83.68,14,0,4.09,GN,1672682397
330,bangassou,22.8184,4.7413,79.68,32,24,2.71,CF,1672682398
331,honiara,159.95,-9.4333,77.59,87,100,3.78,SB,1672682398
332,farah,62.5,32.5,40.01,45,6,3.18,AF,1672682398
333,sibolga,98.7792,1.7427,74.84,90,100,3.38,ID,1672682399
334,burley,-113.7928,42.5357,28.29,72,100,6.76,US,1672682399
335,ahtopol,27.95,42.1,49.5,67,0,3.96,BG,1672682400
336,adra,-3.0206,36.7496,63.37,61,48,0.29,ES,1672682401
337,saint george,-113.5841,37.1041,43.95,71,79,5.99,US,1672682233
338,egvekinot,-179.1667,66.3167,-17.07,88,18,11.32,RU,1672682401
339,mackay,149.2,-21.15,71.69,78,20,3.06,AU,1672682323
340,udachnyy,112.4,66.4167,-24.25,95,32,4.74,RU,1672682403
341,ashtian,50.0019,34.5217,28.78,57,0,2.62,IR,1672682405
342,stranda,6.9358,62.3096,25.56,91,1,7.05,NO,1672682407
343,shenzhen,114.0683,22.5455,65.37,80,91,6.82,CN,1672682367
344,tchollire,14.1698,8.4022,77.11,23,43,3.15,CM,1672682408
345,praia da vitoria,-27.0667,38.7333,61.75,87,98,11.92,PT,1672682409
346,tlanalapa,-98.6,19.8167,62.8,36,62,9.55,MX,1672682410
347,tahta,31.5021,26.7693,59.54,57,0,8.28,EG,1672682334
348,villa alemana,-71.3733,-33.0422,69.53,60,0,14.97,CL,1672682411
349,carolina,-65.9574,18.3808,84.58,74,40,12.66,PR,1672682245
350,miramar,-80.2323,25.9873,85.01,71,75,13.8,US,1672682413
351,yaan,8.5667,7.3833,83.68,19,96,5.59,NG,1672682414
352,meiganga,14.3,6.5167,75.33,30,64,7.85,CM,1672682415
353,krasnoselkup,82.4667,65.7,-24.45,99,89,6.91,RU,1672682416
